"Municipality","Constituency","Party_No","Name","Name_hanja","Gender","Female_dm","Male_dm","Party","Date_of_birth","Age","Address","Occupation","Education","Career","Votes","Votes_share","Win_dm"
"경기도","광명시갑","1","임오경","林五卿","여",1,0,"더불어민주당","1971-12-11",52,"경기도 광명시 시청로","국회의원","한국체육대학교 대학원 졸업(이학박사)","(현)더불어민주당 광명갑 국회의원(현)더불어민주당 원내대변인",47716,58.73,1
"경기도","광명시갑","2","김기남","金基楠","남",0,1,"국민의힘","1964-04-22",59,"경기도 광명시 오리로","의사","국민대학교 정치대학원 졸업(정치학 석사)","(전) 제8회 전국동시지방선거 국민의힘 광명시장 후보(전) 국민의힘 광명갑 당협위원장",33525,41.26,0
"경기도","광명시을","1","김남희","金南希","여",1,0,"더불어민주당","1978-02-22",46,"경기도 광명시 디지털로","변호사","서울대학교 대학원 법학과 박사과정 수료","(전)참여연대 복지조세팀장(전)서울대학교 법학전문대학원  임상부교수",52455,59.56,1
"경기도","광명시을","2","전동석","全東錫","남",0,1,"국민의힘","1962-03-01",62,"경기도 광명시 하안로","정당인","고려대학교 행정대학원 졸업(정책학 석사)","(전)제7대 경기도의원(현)국민의힘 광명시을 조직위원장",35602,40.43,0
"경기도","평택시갑","1","홍기원","洪起元","남",0,1,"더불어민주당","1964-12-13",59,"경기도 평택시 송탄로","국회의원","워싱턴대학교 대학원 졸업 경제학 석사 (1999.9~2001.6)","(현)더불어민주당 평택시갑 국회의원(현)더불어민주당 정책위원회 상임부의장",55550,57.41,1
"경기도","평택시갑","2","한무경","韓茂景","여",1,0,"국민의힘","1958-05-20",65,"경기도 평택시 서정북로","국회의원","이화여자대학교 대학원 졸업(문학박사)","(현)국민의힘 국회의원(전)한국여성경제인협회 회장",41202,42.58,0
"경기도","평택시을","1","이병진","李炳鎭","남",0,1,"더불어민주당","1964-12-08",59,"경기도 평택시 죽백4로","한국외국어대학교 중국연구소 정치외교분과 연구위원","북경대학교 대학원 졸업(법학 박사, 1994.9~1997.7)","(현)더불어민주당 당대표 외교안보특보(전)평택대학교 교수",49998,54.23,1
"경기도","평택시을","2","정우성","鄭宇成","남",0,1,"국민의힘","1977-10-21",46,"경기도 평택시 고덕국제8로","교수","한국과학기술원(KAIST) 졸업(이학박사)","(현)포항공과대학교 교수(현)제22대 국회의원선거 국민의힘 공약개발본부 공동총괄본부장",42197,45.76,0
"경기도","평택시병","1","김현정","金鉉正","남",0,1,"더불어민주당","1969-06-17",54,"경기도 평택시 용죽2로","정당인","연세대학교 행정대학원 졸업(행정학 석사)","(현)더불어민주당 평택병 지역위원장(현)더불어민주당 당대표 언론특보",55794,52.76,1
"경기도","평택시병","2","유의동","兪義東","남",0,1,"국민의힘","1971-06-23",52,"경기도 평택시 현신3길","국회의원","UC샌디에이고대학원 졸업(99.09~01.06 태평양지역국제관계학 석사)","(현)제19,20,21대 국회의원(현)국민의힘 정책위의장",45977,43.48,0
